time_days,Nuclei:Es253 top 9
1.1574074074074073e-05,1.0070600775579256e-89
1.1576109151910821e-05,1.007060077547738e-89
1.157814458757678e-05,1.0070600775375487e-89
1.158018038113487e-05,1.0070600775273576e-89
1.1582216532648015e-05,1.0070600775171646e-89
1.1584253042179158e-05,1.0070600775069702e-89
1.1586289909791249e-05,1.0070600774967736e-89
1.1588327135547246e-05,1.0070600774865754e-89
1.1590364719510128e-05,1.0070600774763752e-89
1.1592402661742875e-05,1.0070600774661735e-89
1.1594440962308483e-05,1.0070600774559697e-89
1.1596479621269957e-05,1.0070600774457644e-89
1.1598518638690315e-05,1.007060077435557e-89
1.1600558014632583e-05,1.007060077425348e-89
1.1602597749159803e-05,1.0070600774151373e-89
1.1604637842335022e-05,1.0070600774049247e-89
1.1606678294221306e-05,1.0070600773947103e-89
1.1608719104881723e-05,1.0070600773844941e-89
1.1610760274379357e-05,1.007060077374276e-89
1.1612801802777306e-05,1.0070600773640562e-89
1.1614843690138673e-05,1.0070600773538346e-89
1.1616885936526574e-05,1.0070600773436113e-89
1.1618928542004138e-05,1.007060077333386e-89
1.1620971506634507e-05,1.007060077323159e-89
1.1623014830480826e-05,1.0070600773129304e-89
1.162505851360626e-05,1.0070600773026996e-89
1.1627102556073979e-05,1.0070600772924674e-89
1.1629146957947168e-05,1.007060077282233e-89
1.163119171928902e-05,1.007060077271997e-89
1.1633236840162742e-05,1.0070600772617594e-89
1.1635282320631548e-05,1.0070600772515198e-89
1.163732816075867e-05,1.0070600772412783e-89
1.1639374360607345e-05,1.0070600772310353e-89
1.1641420920240822e-05,1.0070600772207903e-89
1.1643467839722364e-05,1.0070600772105435e-89
1.1645515119115243e-05,1.0070600772002948e-89
1.1647562758482743e-05,1.0070600771900445e-89
1.1649610757888157e-05,1.0070600771797924e-89
1.1651659117394789e-05,1.0070600771695383e-89
1.1653707837065959e-05,1.0070600771592824e-89
1.1655756916964996e-05,1.0070600771490249e-89
