time_days,Nuclei:Ra223 top 18
1.1574074074074073e-05,1.8144771574453198e-89
1.1576109151910821e-05,1.8144771574269646e-89
1.157814458757678e-05,1.8144771574086056e-89
1.158018038113487e-05,1.8144771573902438e-89
1.1582216532648015e-05,1.8144771573718788e-89
1.1584253042179158e-05,1.8144771573535107e-89
1.1586289909791249e-05,1.814477157335139e-89
1.1588327135547246e-05,1.8144771573167644e-89
1.1590364719510128e-05,1.8144771572983862e-89
1.1592402661742875e-05,1.814477157280005e-89
1.1594440962308483e-05,1.8144771572616203e-89
1.1596479621269957e-05,1.8144771572432327e-89
1.1598518638690315e-05,1.8144771572248416e-89
1.1600558014632583e-05,1.8144771572064477e-89
1.1602597749159803e-05,1.8144771571880503e-89
1.1604637842335022e-05,1.8144771571696494e-89
1.1606678294221306e-05,1.8144771571512457e-89
1.1608719104881723e-05,1.8144771571328386e-89
1.1610760274379357e-05,1.814477157114428e-89
1.1612801802777306e-05,1.8144771570960145e-89
1.1614843690138673e-05,1.814477157077598e-89
1.1616885936526574e-05,1.814477157059178e-89
1.1618928542004138e-05,1.8144771570407543e-89
1.1620971506634507e-05,1.814477157022328e-89
1.1623014830480826e-05,1.814477157003898e-89
1.162505851360626e-05,1.814477156985465e-89
1.1627102556073979e-05,1.814477156967029e-89
1.1629146957947168e-05,1.814477156948589e-89
1.163119171928902e-05,1.8144771569301463e-89
1.1633236840162742e-05,1.8144771569117004e-89
1.1635282320631548e-05,1.814477156893251e-89
1.163732816075867e-05,1.8144771568747986e-89
1.1639374360607345e-05,1.8144771568563433e-89
1.1641420920240822e-05,1.814477156837884e-89
1.1643467839722364e-05,1.814477156819422e-89
1.1645515119115243e-05,1.8144771568009565e-89
1.1647562758482743e-05,1.814477156782488e-89
1.1649610757888157e-05,1.814477156764016e-89
1.1651659117394789e-05,1.8144771567455407e-89
1.1653707837065959e-05,1.814477156727062e-89
1.1655756916964996e-05,1.8144771567085802e-89
1.1657806357155237e-05,1.8144771566900956e-89
1.1659856157700035e-05,1.814477156671607e-89
1.1661906318662747e-05,1.8144771566531156e-89
1.1663956840106745e-05,1.814477156634621e-89
1.1666007722095419e-05,1.814477156616123e-89
1.1668058964692159e-05,1.8144771565976217e-89
1.1670110567960373e-05,1.8144771565791172e-89
1.1672162531963473e-05,1.81447715656061e-89
1.1674214856764896e-05,1.814477156542099e-89
1.1676267542428077e-05,1.8144771565235846e-89
1.1678320589016465e-05,1.8144771565050672e-89
1.1680373996593523e-05,1.814477156486546e-89
1.1682427765222725e-05,1.8144771564680223e-89
1.1684481894967554e-05,1.814477156449495e-89
1.1686536385891505e-05,1.8144771564309645e-89
1.1688591238058084e-05,1.8144771564124307e-89
1.1690646451530811e-05,1.8144771563938935e-89
1.1692702026373212e-05,1.8144771563753538e-89
1.169475796264883e-05,1.81447715635681e-89
1.1696814260421214e-05,1.814477156338263e-89
1.1698870919753925e-05,1.814477156319713e-89
1.170092794071054e-05,1.8144771563011597e-89
1.1702985323354636e-05,1.8144771562826032e-89
1.1705043067749818e-05,1.8144771562640433e-89
1.170710117395969e-05,1.8144771562454802e-89
1.1709159642047868e-05,1.814477156226914e-89
1.1711218472077982e-05,1.8144771562083443e-89
1.1713277664113672e-05,1.8144771561897714e-89
1.1715337218218593e-05,1.814477156171195e-89
1.1717397134456403e-05,1.8144771561526156e-89
1.1719457412890783e-05,1.814477156134033e-89
1.172151805358541e-05,1.8144771561154473e-89
1.1723579056603986e-05,1.814477156096858e-89
1.1725640422010216e-05,1.8144771560782656e-89
1.1727702149867825e-05,1.8144771560596694e-89
1.1729764240240532e-05,1.8144771560410708e-89
1.1731826693192089e-05,1.8144771560224683e-89
1.173388950878624e-05,1.8144771560038626e-89
1.1735952687086755e-05,1.8144771559852535e-89
1.1738016228157407e-05,1.8144771559666416e-89
1.174008013206198e-05,1.8144771559480262e-89
1.1742144398864272e-05,1.8144771559294076e-89
1.1744209028628096e-05,1.8144771559107856e-89
1.1746274021417267e-05,1.8144771558921604e-89
1.1748339377295616e-05,1.8144771558735318e-89
1.1750405096326988e-05,1.8144771558549003e-89
1.1752471178575235e-05,1.814477155836265e-89
1.1754537624104223e-05,1.814477155817627e-89
1.1756604432977824e-05,1.8144771557989854e-89
1.1758671605259932e-05,1.81447715578034e-89
1.1760739141014437e-05,1.814477155761692e-89
1.1762807040305254e-05,1.8144771557430405e-89
1.1764875303196305e-05,1.814477155724386e-89
1.1766943929751517e-05,1.814477155705728e-89
