time_days,Nuclei:Hg208 top 13
1.1574074074074073e-05,5.0591071294886145e-86
1.1576109151910821e-05,5.059107129437436e-86
1.157814458757678e-05,5.059107129386248e-86
1.158018038113487e-05,5.059107129335051e-86
1.1582216532648015e-05,5.059107129283846e-86
1.1584253042179158e-05,5.0591071292326325e-86
1.1586289909791249e-05,5.059107129181409e-86
1.1588327135547246e-05,5.0591071291301765e-86
1.1590364719510128e-05,5.059107129078935e-86
1.1592402661742875e-05,5.059107129027685e-86
1.1594440962308483e-05,5.059107128976425e-86
1.1596479621269957e-05,5.059107128925157e-86
1.1598518638690315e-05,5.0591071288738794e-86
1.1600558014632583e-05,5.059107128822593e-86
1.1602597749159803e-05,5.059107128771297e-86
1.1604637842335022e-05,5.0591071287199926e-86
1.1606678294221306e-05,5.0591071286686796e-86
1.1608719104881723e-05,5.059107128617357e-86
1.1610760274379357e-05,5.059107128566024e-86
1.1612801802777306e-05,5.059107128514684e-86
1.1614843690138673e-05,5.059107128463335e-86
1.1616885936526574e-05,5.059107128411977e-86
1.1618928542004138e-05,5.059107128360608e-86
1.1620971506634507e-05,5.0591071283092315e-86
1.1623014830480826e-05,5.0591071282578464e-86
1.162505851360626e-05,5.059107128206451e-86
1.1627102556073979e-05,5.059107128155048e-86
1.1629146957947168e-05,5.0591071281036345e-86
1.163119171928902e-05,5.059107128052212e-86
1.1633236840162742e-05,5.059107128000782e-86
1.1635282320631548e-05,5.059107127949342e-86
1.163732816075867e-05,5.0591071278978925e-86
1.1639374360607345e-05,5.059107127846435e-86
1.1641420920240822e-05,5.059107127794968e-86
1.1643467839722364e-05,5.059107127743491e-86
1.1645515119115243e-05,5.059107127692006e-86
1.1647562758482743e-05,5.059107127640512e-86
1.1649610757888157e-05,5.059107127589009e-86
1.1651659117394789e-05,5.0591071275374964e-86
1.1653707837065959e-05,5.059107127485974e-86
1.1655756916964996e-05,5.059107127434444e-86
1.1657806357155237e-05,5.059107127382905e-86
1.1659856157700035e-05,5.059107127331356e-86
1.1661906318662747e-05,5.0591071272797985e-86
1.1663956840106745e-05,5.059107127228231e-86
1.1666007722095419e-05,5.059107127176656e-86
1.1668058964692159e-05,5.059107127125071e-86
