time_days,Nuclei:Hf181 top 20
1.1574074074074073e-05,1.1645521436373922e-90
1.1576109151910821e-05,1.1645521436256115e-90
1.157814458757678e-05,1.1645521436138286e-90
1.158018038113487e-05,1.1645521436020436e-90
1.1582216532648015e-05,1.1645521435902568e-90
1.1584253042179158e-05,1.164552143578468e-90
1.1586289909791249e-05,1.1645521435666769e-90
1.1588327135547246e-05,1.1645521435548838e-90
1.1590364719510128e-05,1.1645521435430885e-90
1.1592402661742875e-05,1.1645521435312912e-90
1.1594440962308483e-05,1.1645521435194918e-90
1.1596479621269957e-05,1.1645521435076904e-90
1.1598518638690315e-05,1.1645521434958868e-90
1.1600558014632583e-05,1.1645521434840812e-90
1.1602597749159803e-05,1.1645521434722735e-90
1.1604637842335022e-05,1.1645521434604638e-90
1.1606678294221306e-05,1.164552143448652e-90
1.1608719104881723e-05,1.1645521434368381e-90
1.1610760274379357e-05,1.164552143425022e-90
1.1612801802777306e-05,1.164552143413204e-90
1.1614843690138673e-05,1.164552143401384e-90
1.1616885936526574e-05,1.1645521433895617e-90
1.1618928542004138e-05,1.1645521433777374e-90
1.1620971506634507e-05,1.1645521433659111e-90
1.1623014830480826e-05,1.1645521433540827e-90
1.162505851360626e-05,1.164552143342252e-90
1.1627102556073979e-05,1.1645521433304195e-90
1.1629146957947168e-05,1.1645521433185847e-90
1.163119171928902e-05,1.1645521433067478e-90
1.1633236840162742e-05,1.1645521432949091e-90
1.1635282320631548e-05,1.1645521432830683e-90
1.163732816075867e-05,1.164552143271225e-90
1.1639374360607345e-05,1.1645521432593802e-90
1.1641420920240822e-05,1.164552143247533e-90
1.1643467839722364e-05,1.1645521432356837e-90
1.1645515119115243e-05,1.1645521432238323e-90
1.1647562758482743e-05,1.1645521432119788e-90
1.1649610757888157e-05,1.1645521432001234e-90
1.1651659117394789e-05,1.164552143188266e-90
1.1653707837065959e-05,1.1645521431764059e-90
1.1655756916964996e-05,1.1645521431645443e-90
1.1657806357155237e-05,1.1645521431526806e-90
1.1659856157700035e-05,1.1645521431408144e-90
1.1661906318662747e-05,1.1645521431289465e-90
1.1663956840106745e-05,1.1645521431170762e-90
1.1666007722095419e-05,1.1645521431052042e-90
1.1668058964692159e-05,1.16455214309333e-90
1.1670110567960373e-05,1.1645521430814534e-90
1.1672162531963473e-05,1.1645521430695752e-90
1.1674214856764896e-05,1.1645521430576947e-90
1.1676267542428077e-05,1.164552143045812e-90
1.1678320589016465e-05,1.1645521430339273e-90
1.1680373996593523e-05,1.1645521430220402e-90
1.1682427765222725e-05,1.1645521430101514e-90
1.1684481894967554e-05,1.1645521429982604e-90
1.1686536385891505e-05,1.1645521429863672e-90
1.1688591238058084e-05,1.1645521429744723e-90
1.1690646451530811e-05,1.1645521429625747e-90
1.1692702026373212e-05,1.1645521429506756e-90
1.169475796264883e-05,1.164552142938774e-90
1.1696814260421214e-05,1.1645521429268705e-90
1.1698870919753925e-05,1.164552142914965e-90
1.170092794071054e-05,1.1645521429030571e-90
1.1702985323354636e-05,1.1645521428911474e-90
1.1705043067749818e-05,1.1645521428792354e-90
1.170710117395969e-05,1.1645521428673213e-90
1.1709159642047868e-05,1.1645521428554055e-90
1.1711218472077982e-05,1.164552142843487e-90
1.1713277664113672e-05,1.164552142831567e-90
1.1715337218218593e-05,1.1645521428196444e-90
1.1717397134456403e-05,1.1645521428077198e-90
1.1719457412890783e-05,1.1645521427957933e-90
1.172151805358541e-05,1.1645521427838646e-90
1.1723579056603986e-05,1.1645521427719339e-90
1.1725640422010216e-05,1.164552142760001e-90
1.1727702149867825e-05,1.164552142748066e-90
1.1729764240240532e-05,1.164552142736129e-90
1.1731826693192089e-05,1.1645521427241898e-90
1.173388950878624e-05,1.1645521427122484e-90
1.1735952687086755e-05,1.1645521427003049e-90
1.1738016228157407e-05,1.1645521426883596e-90
1.174008013206198e-05,1.164552142676412e-90
1.1742144398864272e-05,1.1645521426644623e-90
1.1744209028628096e-05,1.1645521426525106e-90
1.1746274021417267e-05,1.1645521426405566e-90
1.1748339377295616e-05,1.1645521426286007e-90
1.1750405096326988e-05,1.1645521426166427e-90
1.1752471178575235e-05,1.1645521426046824e-90
1.1754537624104223e-05,1.1645521425927201e-90
1.1756604432977824e-05,1.1645521425807559e-90
1.1758671605259932e-05,1.1645521425687892e-90
1.1760739141014437e-05,1.1645521425568206e-90
1.1762807040305254e-05,1.1645521425448498e-90
1.1764875303196305e-05,1.1645521425328773e-90
1.1766943929751517e-05,1.1645521425209023e-90
1.1769012920034836e-05,1.1645521425089252e-90
1.1771082274110218e-05,1.1645521424969461e-90
