time_days,Nuclei:Pt197 top 20
1.1574074074074073e-05,2.386433902315024e-89
1.1576109151910821e-05,2.3864339022943317e-89
1.157814458757678e-05,2.3864339022736352e-89
1.158018038113487e-05,2.3864339022529353e-89
1.1582216532648015e-05,2.386433902232232e-89
1.1584253042179158e-05,2.386433902211525e-89
1.1586289909791249e-05,2.386433902190814e-89
1.1588327135547246e-05,2.3864339021700998e-89
1.1590364719510128e-05,2.3864339021493814e-89
1.1592402661742875e-05,2.3864339021286595e-89
1.1594440962308483e-05,2.386433902107934e-89
1.1596479621269957e-05,2.3864339020872053e-89
1.1598518638690315e-05,2.3864339020664726e-89
1.1600558014632583e-05,2.3864339020457364e-89
1.1602597749159803e-05,2.3864339020249964e-89
1.1604637842335022e-05,2.386433902004253e-89
1.1606678294221306e-05,2.3864339019835056e-89
1.1608719104881723e-05,2.3864339019627547e-89
1.1610760274379357e-05,2.386433901942e-89
1.1612801802777306e-05,2.3864339019212423e-89
1.1614843690138673e-05,2.38643390190048e-89
1.1616885936526574e-05,2.3864339018797148e-89
1.1618928542004138e-05,2.3864339018589455e-89
1.1620971506634507e-05,2.3864339018381727e-89
1.1623014830480826e-05,2.3864339018173964e-89
1.162505851360626e-05,2.3864339017966162e-89
1.1627102556073979e-05,2.3864339017758326e-89
1.1629146957947168e-05,2.3864339017550452e-89
1.163119171928902e-05,2.386433901734254e-89
1.1633236840162742e-05,2.3864339017134595e-89
1.1635282320631548e-05,2.3864339016926605e-89
1.163732816075867e-05,2.3864339016718587e-89
1.1639374360607345e-05,2.386433901651053e-89
1.1641420920240822e-05,2.3864339016302437e-89
1.1643467839722364e-05,2.3864339016094308e-89
1.1645515119115243e-05,2.3864339015886144e-89
1.1647562758482743e-05,2.3864339015677938e-89
1.1649610757888157e-05,2.3864339015469697e-89
1.1651659117394789e-05,2.3864339015261418e-89
1.1653707837065959e-05,2.3864339015053107e-89
1.1655756916964996e-05,2.386433901484476e-89
1.1657806357155237e-05,2.386433901463637e-89
1.1659856157700035e-05,2.386433901442795e-89
1.1661906318662747e-05,2.386433901421949e-89
1.1663956840106745e-05,2.3864339014010993e-89
1.1666007722095419e-05,2.386433901380246e-89
1.1668058964692159e-05,2.386433901359389e-89
1.1670110567960373e-05,2.3864339013385287e-89
1.1672162531963473e-05,2.386433901317664e-89
1.1674214856764896e-05,2.3864339012967965e-89
1.1676267542428077e-05,2.3864339012759246e-89
1.1678320589016465e-05,2.3864339012550492e-89
1.1680373996593523e-05,2.3864339012341704e-89
1.1682427765222725e-05,2.3864339012132874e-89
1.1684481894967554e-05,2.3864339011924012e-89
1.1686536385891505e-05,2.3864339011715115e-89
1.1688591238058084e-05,2.3864339011506177e-89
1.1690646451530811e-05,2.38643390112972e-89
1.1692702026373212e-05,2.3864339011088192e-89
1.169475796264883e-05,2.3864339010879145e-89
1.1696814260421214e-05,2.3864339010670064e-89
1.1698870919753925e-05,2.386433901046094e-89
1.170092794071054e-05,2.3864339010251782e-89
1.1702985323354636e-05,2.3864339010042593e-89
1.1705043067749818e-05,2.3864339009833358e-89
1.170710117395969e-05,2.386433900962409e-89
1.1709159642047868e-05,2.3864339009414787e-89
1.1711218472077982e-05,2.3864339009205447e-89
1.1713277664113672e-05,2.386433900899607e-89
1.1715337218218593e-05,2.3864339008786653e-89
1.1717397134456403e-05,2.3864339008577202e-89
1.1719457412890783e-05,2.3864339008367716e-89
1.172151805358541e-05,2.3864339008158188e-89
1.1723579056603986e-05,2.386433900794863e-89
1.1725640422010216e-05,2.3864339007739027e-89
1.1727702149867825e-05,2.386433900752939e-89
1.1729764240240532e-05,2.386433900731972e-89
1.1731826693192089e-05,2.386433900711001e-89
1.173388950878624e-05,2.3864339006900264e-89
1.1735952687086755e-05,2.386433900669048e-89
1.1738016228157407e-05,2.386433900648066e-89
1.174008013206198e-05,2.3864339006270804e-89
1.1742144398864272e-05,2.386433900606091e-89
1.1744209028628096e-05,2.386433900585098e-89
1.1746274021417267e-05,2.386433900564101e-89
1.1748339377295616e-05,2.3864339005431004e-89
1.1750405096326988e-05,2.3864339005220964e-89
1.1752471178575235e-05,2.3864339005010885e-89
1.1754537624104223e-05,2.386433900480077e-89
1.1756604432977824e-05,2.386433900459062e-89
1.1758671605259932e-05,2.386433900438043e-89
1.1760739141014437e-05,2.3864339004170202e-89
1.1762807040305254e-05,2.386433900395994e-89
1.1764875303196305e-05,2.386433900374964e-89
1.1766943929751517e-05,2.3864339003539302e-89
1.1769012920034836e-05,2.3864339003328927e-89
1.1771082274110218e-05,2.3864339003118516e-89
1.1773151992041629e-05,2.3864339002908068e-89
1.1775222073893044e-05,2.3864339002697584e-89
1.1777292519728452e-05,2.3864339002487062e-89
1.177936332961185e-05,2.38643390022765e-89
1.1781434503607254e-05,2.3864339002065903e-89
1.1783506041778683e-05,2.386433900185527e-89
