time_days,Nuclei:Sn123 top 6
1.1574074074074073e-05,4.8078112039821117e-91
1.1576109151910821e-05,4.807811203940424e-91
1.157814458757678e-05,4.8078112038987287e-91
1.158018038113487e-05,4.8078112038570255e-91
1.1582216532648015e-05,4.807811203815316e-91
1.1584253042179158e-05,4.8078112037735984e-91
1.1586289909791249e-05,4.8078112037318733e-91
1.1588327135547246e-05,4.807811203690141e-91
1.1590364719510128e-05,4.8078112036484015e-91
1.1592402661742875e-05,4.807811203606654e-91
1.1594440962308483e-05,4.8078112035649003e-91
1.1596479621269957e-05,4.807811203523138e-91
1.1598518638690315e-05,4.8078112034813696e-91
1.1600558014632583e-05,4.8078112034395934e-91
1.1602597749159803e-05,4.8078112033978095e-91
1.1604637842335022e-05,4.807811203356019e-91
1.1606678294221306e-05,4.8078112033142205e-91
1.1608719104881723e-05,4.8078112032724154e-91
1.1610760274379357e-05,4.807811203230602e-91
1.1612801802777306e-05,4.807811203188782e-91
1.1614843690138673e-05,4.807811203146954e-91
1.1616885936526574e-05,4.807811203105119e-91
1.1618928542004138e-05,4.8078112030632764e-91
1.1620971506634507e-05,4.807811203021427e-91
1.1623014830480826e-05,4.80781120297957e-91
1.162505851360626e-05,4.8078112029377057e-91
1.1627102556073979e-05,4.807811202895834e-91
1.1629146957947168e-05,4.807811202853955e-91
1.163119171928902e-05,4.807811202812068e-91
1.1633236840162742e-05,4.8078112027701745e-91
1.1635282320631548e-05,4.8078112027282723e-91
1.163732816075867e-05,4.807811202686364e-91
1.1639374360607345e-05,4.8078112026444484e-91
1.1641420920240822e-05,4.807811202602524e-91
1.1643467839722364e-05,4.807811202560594e-91
1.1645515119115243e-05,4.807811202518656e-91
1.1647562758482743e-05,4.8078112024767107e-91
1.1649610757888157e-05,4.8078112024347573e-91
1.1651659117394789e-05,4.8078112023927963e-91
1.1653707837065959e-05,4.807811202350829e-91
1.1655756916964996e-05,4.8078112023088547e-91
1.1657806357155237e-05,4.8078112022668714e-91
1.1659856157700035e-05,4.807811202224882e-91
1.1661906318662747e-05,4.8078112021828845e-91
1.1663956840106745e-05,4.8078112021408804e-91
1.1666007722095419e-05,4.807811202098868e-91
1.1668058964692159e-05,4.807811202056849e-91
1.1670110567960373e-05,4.8078112020148225e-91
1.1672162531963473e-05,4.8078112019727885e-91
1.1674214856764896e-05,4.807811201930747e-91
1.1676267542428077e-05,4.807811201888698e-91
1.1678320589016465e-05,4.8078112018466417e-91
1.1680373996593523e-05,4.807811201804578e-91
1.1682427765222725e-05,4.8078112017625066e-91
1.1684481894967554e-05,4.8078112017204284e-91
1.1686536385891505e-05,4.8078112016783426e-91
1.1688591238058084e-05,4.807811201636249e-91
1.1690646451530811e-05,4.807811201594148e-91
1.1692702026373212e-05,4.8078112015520404e-91
1.169475796264883e-05,4.8078112015099247e-91
1.1696814260421214e-05,4.8078112014678023e-91
1.1698870919753925e-05,4.8078112014256713e-91
1.170092794071054e-05,4.8078112013835337e-91
1.1702985323354636e-05,4.8078112013413896e-91
1.1705043067749818e-05,4.807811201299236e-91
1.170710117395969e-05,4.807811201257077e-91
1.1709159642047868e-05,4.807811201214909e-91
1.1711218472077982e-05,4.807811201172735e-91
1.1713277664113672e-05,4.8078112011305523e-91
1.1715337218218593e-05,4.807811201088363e-91
1.1717397134456403e-05,4.8078112010461654e-91
1.1719457412890783e-05,4.807811201003962e-91
1.172151805358541e-05,4.807811200961749e-91
1.1723579056603986e-05,4.807811200919531e-91
1.1725640422010216e-05,4.807811200877304e-91
1.1727702149867825e-05,4.807811200835069e-91
1.1729764240240532e-05,4.807811200792828e-91
1.1731826693192089e-05,4.807811200750579e-91
1.173388950878624e-05,4.8078112007083224e-91
1.1735952687086755e-05,4.807811200666059e-91
1.1738016228157407e-05,4.807811200623788e-91
1.174008013206198e-05,4.807811200581509e-91
1.1742144398864272e-05,4.8078112005392226e-91
1.1744209028628096e-05,4.807811200496929e-91
1.1746274021417267e-05,4.8078112004546275e-91
1.1748339377295616e-05,4.8078112004123193e-91
1.1750405096326988e-05,4.807811200370004e-91
1.1752471178575235e-05,4.80781120032768e-91
1.1754537624104223e-05,4.8078112002853496e-91
1.1756604432977824e-05,4.8078112002430114e-91
1.1758671605259932e-05,4.807811200200666e-91
1.1760739141014437e-05,4.807811200158313e-91
1.1762807040305254e-05,4.807811200115953e-91
1.1764875303196305e-05,4.8078112000735847e-91
1.1766943929751517e-05,4.807811200031209e-91
1.1769012920034836e-05,4.807811199988826e-91
1.1771082274110218e-05,4.8078111999464356e-91
1.1773151992041629e-05,4.807811199904038e-91
1.1775222073893044e-05,4.807811199861633e-91
1.1777292519728452e-05,4.80781119981922e-91
1.177936332961185e-05,4.8078111997768e-91
1.1781434503607254e-05,4.807811199734372e-91
1.1783506041778683e-05,4.807811199691937e-91
1.178557794419017e-05,4.807811199649494e-91
1.1787650210905758e-05,4.8078111996070447e-91
1.178972284198951e-05,4.807811199564587e-91
1.1791795837505486e-05,4.8078111995221226e-91
1.1793869197517767e-05,4.8078111994796504e-91
1.179594292209044e-05,4.80781119943717e-91
1.1798017011287611e-05,4.8078111993946825e-91
1.180009146517339e-05,4.807811199352188e-91
1.1802166283811898e-05,4.8078111993096857e-91
1.180424146726727e-05,4.807811199267176e-91
1.1806317015603657e-05,4.8078111992246584e-91
1.1808392928885212e-05,4.8078111991821333e-91
1.1810469207176105e-05,4.8078111991396017e-91
1.1812545850540515e-05,4.807811199097062e-91
1.1814622859042633e-05,4.807811199054515e-91
1.1816700232746663e-05,4.80781119901196e-91
1.1818777971716817e-05,4.807811198969398e-91
1.182085607601732e-05,4.8078111989268285e-91
1.182293454571241e-05,4.8078111988842516e-91
1.1825013380866334e-05,4.807811198841667e-91
1.182709258154335e-05,4.807811198799075e-91
1.1829172147807727e-05,4.807811198756475e-91
1.183125207972375e-05,4.8078111987138684e-91
1.183333237735571e-05,4.8078111986712533e-91
1.1835413040767908e-05,4.8078111986286323e-91
1.1837494070024666e-05,4.807811198586002e-91
1.1839575465190307e-05,4.807811198543366e-91
1.1841657226329168e-05,4.8078111985007213e-91
1.18437393535056e-05,4.8078111984580687e-91
1.1845821846783964e-05,4.8078111984154095e-91
1.184790470622863e-05,4.8078111983727427e-91
1.1849987931903983e-05,4.807811198330068e-91
1.1852071523874415e-05,4.807811198287386e-91
1.1854155482204337e-05,4.807811198244696e-91
1.185623980695816e-05,4.8078111982019997e-91
1.185832449820032e-05,4.807811198159295e-91
1.186040955599525e-05,4.807811198116583e-91
1.1862494980407405e-05,4.807811198073863e-91
1.1864580771501242e-05,4.8078111980311363e-91
1.1866666929341244e-05,4.8078111979884014e-91
1.1868753453991893e-05,4.80781119794566e-91
1.1870840345517681e-05,4.8078111979029097e-91
1.187292760398312e-05,4.807811197860153e-91
1.187501522945273e-05,4.8078111978173886e-91
1.1877103221991039e-05,4.8078111977746166e-91
1.1879191581662589e-05,4.8078111977318365e-91
1.1881280308531934e-05,4.807811197689049e-91
1.188336940266364e-05,4.8078111976462543e-91
1.1885458864122283e-05,4.8078111976034524e-91
1.1887548692972447e-05,4.8078111975606433e-91
1.1889638889278737e-05,4.807811197517825e-91
1.1891729453105753e-05,4.8078111974750007e-91
1.1893820384518129e-05,4.807811197432168e-91
1.1895911683580489e-05,4.807811197389328e-91
1.1898003350357477e-05,4.807811197346481e-91
1.1900095384913753e-05,4.807811197303626e-91
1.190218778731398e-05,4.8078111972607636e-91
1.1904280557622842e-05,4.8078111972178935e-91
1.1906373695905023e-05,4.807811197175016e-91
1.1908467202225226e-05,4.8078111971321304e-91
1.1910561076648163e-05,4.807811197089238e-91
1.1912655319238558e-05,4.807811197046338e-91
1.1914749930061148e-05,4.80781119700343e-91
1.1916844909180674e-05,4.8078111969605143e-91
1.1918940256661901e-05,4.8078111969175925e-91
1.1921035972569594e-05,4.8078111968746624e-91
1.1923132056968534e-05,4.807811196831724e-91
1.1925228509923516e-05,4.807811196788779e-91
1.1927325331499338e-05,4.807811196745826e-91
1.1929422521760818e-05,4.807811196702865e-91
1.1931520080772786e-05,4.8078111966598967e-91
1.1933618008600073e-05,4.807811196616921e-91
1.193571630530753e-05,4.8078111965739385e-91
