time_days,Nuclei:I131 top 3
1.1574074074074073e-05,5.008303778655467e-90
1.1576109151910821e-05,5.008303778612041e-90
1.157814458757678e-05,5.008303778568607e-90
1.158018038113487e-05,5.008303778525165e-90
1.1582216532648015e-05,5.008303778481716e-90
1.1584253042179158e-05,5.008303778438259e-90
1.1586289909791249e-05,5.008303778394793e-90
1.1588327135547246e-05,5.008303778351322e-90
1.1590364719510128e-05,5.008303778307841e-90
1.1592402661742875e-05,5.008303778264353e-90
1.1594440962308483e-05,5.008303778220857e-90
1.1596479621269957e-05,5.008303778177354e-90
1.1598518638690315e-05,5.008303778133844e-90
1.1600558014632583e-05,5.008303778090326e-90
1.1602597749159803e-05,5.008303778046799e-90
1.1604637842335022e-05,5.008303778003266e-90
1.1606678294221306e-05,5.008303777959724e-90
1.1608719104881723e-05,5.008303777916176e-90
1.1610760274379357e-05,5.008303777872619e-90
1.1612801802777306e-05,5.008303777829055e-90
1.1614843690138673e-05,5.008303777785483e-90
1.1616885936526574e-05,5.008303777741903e-90
1.1618928542004138e-05,5.008303777698316e-90
1.1620971506634507e-05,5.008303777654721e-90
1.1623014830480826e-05,5.008303777611119e-90
1.162505851360626e-05,5.008303777567508e-90
1.1627102556073979e-05,5.0083037775238906e-90
1.1629146957947168e-05,5.008303777480265e-90
1.163119171928902e-05,5.008303777436631e-90
1.1633236840162742e-05,5.00830377739299e-90
1.1635282320631548e-05,5.0083037773493415e-90
1.163732816075867e-05,5.008303777305685e-90
1.1639374360607345e-05,5.008303777262022e-90
1.1641420920240822e-05,5.0083037772183495e-90
1.1643467839722364e-05,5.00830377717467e-90
1.1645515119115243e-05,5.008303777130983e-90
1.1647562758482743e-05,5.008303777087289e-90
1.1649610757888157e-05,5.008303777043586e-90
1.1651659117394789e-05,5.008303776999875e-90
1.1653707837065959e-05,5.008303776956158e-90
1.1655756916964996e-05,5.0083037769124335e-90
1.1657806357155237e-05,5.008303776868699e-90
1.1659856157700035e-05,5.008303776824958e-90
1.1661906318662747e-05,5.00830377678121e-90
1.1663956840106745e-05,5.0083037767374545e-90
1.1666007722095419e-05,5.00830377669369e-90
1.1668058964692159e-05,5.008303776649918e-90
1.1670110567960373e-05,5.00830377660614e-90
1.1672162531963473e-05,5.008303776562353e-90
1.1674214856764896e-05,5.008303776518558e-90
1.1676267542428077e-05,5.008303776474755e-90
1.1678320589016465e-05,5.0083037764309455e-90
1.1680373996593523e-05,5.008303776387128e-90
1.1682427765222725e-05,5.008303776343302e-90
1.1684481894967554e-05,5.008303776299469e-90
1.1686536385891505e-05,5.008303776255628e-90
1.1688591238058084e-05,5.008303776211779e-90
1.1690646451530811e-05,5.008303776167923e-90
1.1692702026373212e-05,5.008303776124059e-90
1.169475796264883e-05,5.008303776080187e-90
1.1696814260421214e-05,5.008303776036308e-90
1.1698870919753925e-05,5.00830377599242e-90
1.170092794071054e-05,5.008303775948525e-90
1.1702985323354636e-05,5.008303775904623e-90
1.1705043067749818e-05,5.008303775860713e-90
1.170710117395969e-05,5.008303775816795e-90
1.1709159642047868e-05,5.008303775772869e-90
1.1711218472077982e-05,5.008303775728936e-90
1.1713277664113672e-05,5.008303775684994e-90
1.1715337218218593e-05,5.008303775641045e-90
1.1717397134456403e-05,5.008303775597088e-90
1.1719457412890783e-05,5.008303775553124e-90
1.172151805358541e-05,5.008303775509151e-90
1.1723579056603986e-05,5.008303775465173e-90
1.1725640422010216e-05,5.008303775421185e-90
1.1727702149867825e-05,5.008303775377189e-90
1.1729764240240532e-05,5.008303775333186e-90
1.1731826693192089e-05,5.0083037752891754e-90
1.173388950878624e-05,5.008303775245156e-90
1.1735952687086755e-05,5.008303775201131e-90
1.1738016228157407e-05,5.008303775157097e-90
1.174008013206198e-05,5.008303775113055e-90
